Longitude,Latitude,label
89.16570281982422,23.215789794921875,school
90.7059555053711,22.41112327575684,school
90.06784057617188,22.617420196533203,school
89.8375116,23.6034572,non_school
91.49798583984376,24.937700271606445,school
92.06039428710938,22.16374397277832,school
91.11881256103516,22.2418270111084,school
90.1610336303711,23.6622371673584,school
87.9029354,23.0707601,non_school
91.39183044433594,22.84593772888184,school
90.73914337158205,22.526355743408203,school
90.3495101928711,23.77595901489257,school
89.0698072,22.7220168,non_school
90.43136596679688,23.81134605407715,school
90.73130798339844,22.58379554748535,school
90.24823760986328,23.4879207611084,school
90.56185150146484,22.148866653442383,school
90.43216705322266,23.76335906982422,school
90.4648895263672,23.52186584472656,school
90.1307601928711,22.789878845214844,school
90.36792755126952,23.717750549316406,school
90.12476348876952,22.568334579467773,school
90.3784408569336,23.80914878845215,school
88.96564483642578,23.27498817443848,school
88.3606586,22.5240061,non_school
90.6999053955078,24.39209747314453,school
89.46320343017578,22.570646286010746,school
90.05461120605469,24.65319061279297,school
90.39667510986328,24.762256622314453,school
92.14842224121094,23.27878189086914,school
91.83670043945312,22.362462997436523,school
90.36302947998048,23.738096237182617,school
88.3875,22.5729375,non_school
90.851371,24.1070293,non_school
89.9333956,24.2467485,non_school
91.2488021850586,23.94527816772461,school
90.35066223144533,23.77340316772461,school
87.8959294,23.0731723,non_school
90.04634857177734,22.08461570739746,school
90.4302453,23.6961408,non_school
89.2308120727539,25.76372528076172,school
89.4728755,23.9976267,non_school
90.69837951660156,22.546775817871094,school
87.981038,22.1878875,non_school
90.4902572631836,23.51944351196289,school
89.15821075439453,23.784252166748047,school
91.8393822,22.5103205,non_school
91.81493377685548,22.397220611572266,school
89.76260375976562,25.25111961364746,school
90.4115342,23.758079,non_school
90.85330963134766,22.41890525817871,school
89.32462310791016,24.45124626159668,school
90.4126968383789,23.78522109985352,school
90.3815504,23.9773825,non_school
91.19505310058594,25.135704040527344,school
90.44029235839844,23.744253158569336,school
90.3956375,23.7418995,non_school
90.68519592285156,22.554553985595703,school
90.4247477,23.7103834,non_school
90.3812484741211,23.758056640625,school
89.86272430419922,24.679872512817383,school
89.70399475097656,23.224609375,school
89.3959689,23.0282003,non_school
90.74991607666016,22.413864135742188,school
