Latitude,Longitude,label
16.20155906677246,-0.474505603313446,school
14.600895,-0.7195731,non_school
14.407866477966309,-4.082468509674072,school
12.7474365234375,-5.406190872192383,school
12.686091423034668,-7.96270751953125,school
14.535533905029297,-4.095029354095459,school
14.005345344543455,-7.42618989944458,school
12.71286964416504,-7.971719741821289,school
12.59967041015625,-8.188725471496582,school
14.545783042907717,-9.513466835021973,school
13.312878608703612,-7.190016746520996,school
14.5375258,-3.2199403,non_school
12.643732070922852,-8.005013465881348,school
12.638958930969238,-8.026971817016602,school
12.61225128173828,-8.046260833740234,school
13.444578170776367,-6.253503799438477,school
14.9987418,-2.9511179,non_school
12.673830032348633,-7.920509815216064,school
13.479822158813477,-3.810017108917236,school
13.925989151000977,-6.21082592010498,school
13.809983253479004,-10.833582878112791,school
12.593050003051758,-7.971529006958008,school
15.055399894714355,-5.00186014175415,school
21.3552533,0.931055,non_school
14.2322566,-0.8689575,non_school
14.25,-5.98199987411499,school
14.400425910949709,-3.078416585922241,school
13.778114318847656,-3.455709218978882,school
14.446599960327148,-8.374300003051758,school
12.095812797546388,-6.713150978088379,school
14.457845687866213,-6.033507347106934,school
10.44873332977295,-6.929616928100586,school
13.957880973815918,-5.516274929046631,school
14.477582931518556,-7.466234683990479,school
12.737516403198242,-7.286316871643066,school
16.84014129638672,-2.525932312011719,school
12.830150604248049,-5.567294597625732,school
12.519657135009766,-8.013304710388184,school
14.9686485,-3.3942772,non_school
14.599066734313965,-11.025816917419434,school
14.08737564086914,-11.672528266906738,school
15.470000267028809,-4.611000061035156,school
14.099724769592283,-3.354770183563232,school
12.591341018676758,-7.944253921508789,school
12.508366584777832,-5.339300155639648,school
11.318063735961914,-5.666895866394043,school
14.5331363,-4.0901093,non_school
13.393170356750488,-4.454409122467041,school
12.260051727294922,-7.723575592041016,school
12.46031665802002,-9.745566368103027,school
13.463314056396484,-7.199289798736572,school
14.4989184,-4.1992034,non_school
14.0208369,-0.0197239,non_school
12.55823040008545,-7.854082584381104,school
13.149534225463867,-4.503576278686523,school
12.3951997756958,-4.67443323135376,school
12.86221694946289,-9.28381633758545,school
12.663833618164062,-7.946167469024658,school
13.157583236694336,-9.844066619873049,school
11.181949615478516,-8.336133003234863,school
11.310486793518066,-5.6788649559021,school
11.102517127990724,-5.606616497039795,school
10.874600410461426,-6.318900108337402,school
13.695958137512209,-6.058557510375977,school
13.254122734069824,-6.994972229003906,school
12.296667098999023,-5.833700180053711,school
11.31240463256836,-5.695518016815186,school
14.0405151,-0.0621628,non_school
11.316900253295898,-5.999483108520508,school
13.871554374694824,-5.788795471191406,school
12.010549545288086,-5.745833396911621,school
14.9344571,3.4356216,non_school
12.2816743850708,-6.773291110992432,school
14.996832847595217,-11.464150428771973,school
12.693517684936523,-5.398537635803223,school
12.56511688232422,-7.91825008392334,school
13.379127502441406,-4.918374061584473,school
12.958783149719238,-8.990850448608398,school
21.3356346,0.9543141,non_school
13.843879699707031,-3.757414102554321,school
11.562067031860352,-6.248499870300293,school
12.905440330505373,-7.535608768463135,school
14.97255039215088,-11.588183403015137,school
15.538376808166504,-11.592703819274902,school
15.094770431518556,-10.81113338470459,school
14.2129964,1.4616548,non_school
14.2071159,1.450504,non_school
